Node ID,Latitude,Longitude,Properties
137538368,36.1308050,-115.1259760,0
137539380,36.1370640,-115.1053870,0
137542880,36.1236360,-115.1501920,0
137542884,36.1235640,-115.1503590,0
137542887,36.1234970,-115.1504400,0
137542890,36.1232980,-115.1504950,0
137542893,36.1230170,-115.1505010,0
137542896,36.1212390,-115.1505560,0
137542899,36.1205390,-115.1505650,0
137542902,36.1182360,-115.1505960,0
137542905,36.1157890,-115.1506480,0
137542908,36.1154380,-115.1505340,0
137545986,36.1279260,-115.1336870,0
137545989,36.1278690,-115.1336440,0
137546008,36.0900050,-115.1368080,0
137549717,36.1059360,-115.1372450,0
137549720,36.1059240,-115.1360960,0
137549723,36.1059160,-115.1358700,0
137549726,36.1058890,-115.1356990,0
137551398,36.1237560,-115.1306090,0
137551404,36.1237750,-115.1308160,0
137551408,36.1238080,-115.1310190,0
137551411,36.1238720,-115.1312690,0
137551414,36.1239460,-115.1315040,0
137551417,36.1239450,-115.1315800,0
137551420,36.1239150,-115.1316470,0
137551423,36.1238700,-115.1317010,0
137551425,36.1233350,-115.1320780,0
137552407,36.1248650,-115.1322900,0
137552410,36.1246000,-115.1323510,0
137552413,36.1243810,-115.1324470,0
137552421,36.1237520,-115.1328610,0
137552423,36.1235270,-115.1330010,0
137552426,36.1233040,-115.1330950,0
137552429,36.1231020,-115.1331280,0
137552432,36.1221720,-115.1331190,0
137552434,36.1220080,-115.1329960,0
137552437,36.1215710,-115.1327710,0
137552440,36.1213500,-115.1327070,0
137552443,36.1201710,-115.1328240,0
137552446,36.1193360,-115.1328820,0
137552451,36.1191750,-115.1327980,0
137553629,36.1190740,-115.1494110,0
137553631,36.1190050,-115.1493970,0
137553633,36.1189580,-115.1493600,0
137553635,36.1189250,-115.1492890,0
137553637,36.1189080,-115.1488080,0
137553640,36.1189050,-115.1476430,0
137553642,36.1189020,-115.1470390,0
137553644,36.1188950,-115.1464580,0
137562243,36.1278310,-115.1335710,0
137562246,36.1278360,-115.1327200,0
137562248,36.1279040,-115.1323630,0
137562250,36.1280250,-115.1320640,0
137562252,36.1284670,-115.1312390,0
137562254,36.1288830,-115.1304630,0
137562255,36.1289520,-115.1303620,0
137562257,36.1291140,-115.1302340,0
137562259,36.1293020,-115.1301900,0
137562621,36.1254040,-115.1484920,0
137562622,36.1254050,-115.1487480,0
137562625,36.1254080,-115.1490880,0
137562627,36.1253830,-115.1491230,0
137562638,36.1258600,-115.1486800,0
137562888,36.1550780,-115.1369980,0
137566212,36.1272110,-115.1302190,0
137568674,36.1250880,-115.1494980,0
137568677,36.1253570,-115.1494990,0
137568679,36.1254710,-115.1494990,0
137568694,36.1253590,-115.1491590,0
137572797,36.1308000,-115.1203790,0
137572857,36.1267580,-115.1309860,0
137575888,36.1245370,-115.1385450,0
137584324,36.1389110,-115.1313810,0
